,index,Date,Open,Close,High,Low,Volume,sma7,sma25,sma99,bb_sma,bb_ub,bb_lb,psar,RSI,twap
36024,36124,2020-01-11 19:00:00,8149.5,8142.4,8156.6,8128.1,0.04681345675,8113.742857142856,8101.754101041601,8029.792308690304,8106.807626301999,8208.439156555736,8005.1760960482625,8010.7409024,59.030158820636736,8147.233333333334
36025,36125,2020-01-11 20:00:00,8141.5,8144.5,8172.2,8136.4,0.11019185828,8123.428571428572,8105.514101041601,8031.839783437778,8106.252626302,8206.929037156267,8005.576215447732,8018.159266304,59.239362985592095,8146.699999999999
36026,36126,2020-01-11 21:00:00,8144.4,8091.0,8282.4,8042.6,0.6202410989899999,8130.071428571428,8106.934101041601,8032.335743033737,8100.969657950499,8192.817104578578,8009.12221132242,8025.28089565184,51.95998554679932,8144.85
36027,36127,2020-01-11 22:00:00,8091.4,8064.8,8091.4,8020.0,0.25957318611,8126.814285714287,8107.9661010416,8032.2529147509085,8094.3401480105,8175.963775322891,8012.71652069811,8282.4,48.79760206898909,8098.7
36028,36128,2020-01-11 23:00:00,8064.8,8013.7,8065.8,8000.0,0.16088769629000002,8107.557142857143,8105.3861010416,8030.785237983233,8087.5751480105,8172.324085738141,8002.826210282859,8282.4,43.2666141087832,8042.616666666667
36029,36129,2020-01-12 00:00:00,8013.63408437,8060.2,8069.89142631,7951.7,0.28698337461,8095.228571428571,8100.4141010416,8031.191298589292,8084.9001480105,8169.559099772198,8000.241196248801,8271.104,48.938347803534555,8026.881904385
36030,36130,2020-01-12 01:00:00,8060.0,8050.99855638,8070.5,8034.5,0.12371802339,8081.085508054285,8096.2300432968,8031.337748653737,8083.7014982895,8169.559166807099,7997.8438297719,8251.93976,47.917504647819435,8039.631663781667
36031,36131,2020-01-12 02:00:00,8051.0,8080.7,8094.3,8048.1,0.0674825349,8072.27122234,8091.5916686156,8030.596334512323,8082.226498289499,8167.221818296514,7997.2311782824845,8233.9253744,51.438822280893504,8063.18309273
36032,36132,2020-01-12 03:00:00,8079.89942163,8078.0,8090.6,8059.3,0.02743162111,8062.77122234,8086.816060663599,8027.087243603232,8082.8564982894995,8167.5297719460405,7998.183224632959,8216.991851936,51.10059373926514,8075.166666666666
36033,36133,2020-01-12 04:00:00,8078.0,8064.3,8086.3,8062.9,0.054013746339999995,8058.956936625714,8083.428060663599,8024.121587037577,8083.1364982895,8167.5249519756935,7998.748044603307,8201.07434081984,49.32821661016559,8073.5666666666675
36034,36134,2020-01-12 05:00:00,8064.22022896,8082.7,8082.7,8064.2,0.045813347569999996,8061.514079482857,8082.1880606636,8022.071081987071,8081.969927819,8165.702659077481,7998.237196560519,8186.1118803706495,51.74880106170631,8073.85
36035,36135,2020-01-12 06:00:00,8082.7,8075.7,8136.8,8075.7,0.1823158296,8070.37122234,8082.217198631601,8019.769647336263,8083.624927819001,8165.466716287245,8001.783139350757,8172.0471675484105,50.755452529486895,8086.299999999999
36036,36136,2020-01-12 07:00:00,8075.7,8081.233821,8088.9,8074.9,0.06663028299,8073.376053911429,8081.0585514716,8017.187160679698,8086.106618869,8164.421802794332,8007.791434943669,8158.826337495506,51.54728127409269,8088.872303499999
36037,36137,2020-01-12 08:00:00,8081.2,8117.4,8121.4,8079.4,0.14628907607,8082.8619744285725,8083.1385514716,8014.981898410201,8090.071618869,8166.264211571518,8013.879026166483,8146.398757245775,56.473249051028056,8093.872303499998
